State	County	Year	Est. Population
Virginia	Balance of Sussex County	2010	8669
Virginia	Balance of Sussex County	2011	8604
Virginia	Balance of Sussex County	2012	8677
Virginia	Balance of Sussex County	2013	8574
Virginia	Balance of Sussex County	2014	8497
Virginia	Balance of Sussex County	2015	8476
Virginia	Tazewell County	2010	45078
Virginia	Tazewell County	2011	45147
Virginia	Tazewell County	2012	44677
Virginia	Tazewell County	2013	44247
Virginia	Tazewell County	2014	44091
Virginia	Tazewell County	2015	43436
Virginia	Balance of Tazewell County	2010	27631
Virginia	Balance of Tazewell County	2011	27706
Virginia	Balance of Tazewell County	2012	27400
Virginia	Balance of Tazewell County	2013	27126
Virginia	Balance of Tazewell County	2014	27011
Virginia	Balance of Tazewell County	2015	26600
Virginia	Warren County	2010	37431
Virginia	Warren County	2011	37514
Virginia	Warren County	2012	37665
Virginia	Warren County	2013	37993
Virginia	Warren County	2014	38637
Virginia	Warren County	2015	39028
Virginia	Balance of Warren County	2010	22991
Virginia	Balance of Warren County	2011	23043
Virginia	Balance of Warren County	2012	23146
Virginia	Balance of Warren County	2013	23348
Virginia	Balance of Warren County	2014	23719
Virginia	Balance of Warren County	2015	23973
Virginia	Washington County	2010	54870
Virginia	Washington County	2011	54893
Virginia	Washington County	2012	54744
Virginia	Washington County	2013	55055
Virginia	Washington County	2014	54744
Virginia	Washington County	2015	54663
Virginia	Balance of Washington County	2010	44215
Virginia	Balance of Washington County	2011	44231
Virginia	Balance of Washington County	2012	44119
Virginia	Balance of Washington County	2013	44422
Virginia	Balance of Washington County	2014	44125
Virginia	Balance of Washington County	2015	44061
Virginia	Westmoreland County	2010	17454
Virginia	Westmoreland County	2011	17451
Virginia	Westmoreland County	2012	17626
Virginia	Westmoreland County	2013	17512
Virginia	Westmoreland County	2014	17557
Virginia	Westmoreland County	2015	17462
Virginia	Balance of Westmoreland County	2010	13530
Virginia	Balance of Westmoreland County	2011	13530
Virginia	Balance of Westmoreland County	2012	13666
Virginia	Balance of Westmoreland County	2013	13579
Virginia	Balance of Westmoreland County	2014	13620
Virginia	Balance of Westmoreland County	2015	13539
Virginia	Wise County	2010	41476
Virginia	Wise County	2011	41616
Virginia	Wise County	2012	41427
Virginia	Wise County	2013	40889
Virginia	Wise County	2014	40664
Virginia	Wise County	2015	39952
Virginia	Balance of Wise County	2010	27020
Virginia	Balance of Wise County	2011	27151
Virginia	Balance of Wise County	2012	26992
Virginia	Balance of Wise County	2013	26550
