City	State	Year	Est. Population
Bon Air town	Alabama	2012	115
Bon Air town	Alabama	2013	115
Bon Air town	Alabama	2014	115
Bon Air town	Alabama	2015	114
Brantley town	Alabama	2010	808
Brantley town	Alabama	2011	805
Brantley town	Alabama	2012	807
Brantley town	Alabama	2013	808
Brantley town	Alabama	2014	806
Brantley town	Alabama	2015	806
Brilliant town	Alabama	2010	900
Brilliant town	Alabama	2011	901
Brilliant town	Alabama	2012	899
Brilliant town	Alabama	2013	893
Brilliant town	Alabama	2014	887
Brilliant town	Alabama	2015	886
Brookside town	Alabama	2010	1363
Brookside town	Alabama	2011	1362
Brookside town	Alabama	2012	1354
Brookside town	Alabama	2013	1351
Brookside town	Alabama	2014	1344
Brookside town	Alabama	2015	1339
Brookwood town	Alabama	2010	1828
Brookwood town	Alabama	2011	1828
Brookwood town	Alabama	2012	1836
Brookwood town	Alabama	2013	1837
Brookwood town	Alabama	2014	1839
Brookwood town	Alabama	2015	1833
Butler town	Alabama	2010	1890
Butler town	Alabama	2011	1888
Butler town	Alabama	2012	1857
Butler town	Alabama	2013	1849
Butler town	Alabama	2014	1828
Butler town	Alabama	2015	1815
Camp Hill town	Alabama	2010	1014
Camp Hill town	Alabama	2011	1011
Camp Hill town	Alabama	2012	1007
Camp Hill town	Alabama	2013	998
Camp Hill town	Alabama	2014	994
Camp Hill town	Alabama	2015	991
Cardiff town	Alabama	2010	55
Cardiff town	Alabama	2011	55
Cardiff town	Alabama	2012	55
Cardiff town	Alabama	2013	55
Cardiff town	Alabama	2014	54
Cardiff town	Alabama	2015	54
Carolina town	Alabama	2010	297
Carolina town	Alabama	2011	297
Carolina town	Alabama	2012	300
Carolina town	Alabama	2013	298
Carolina town	Alabama	2014	298
Carolina town	Alabama	2015	299
Carrollton town	Alabama	2010	1019
Carrollton town	Alabama	2011	1018
Carrollton town	Alabama	2012	1003
Carrollton town	Alabama	2013	1004
Carrollton town	Alabama	2014	997
Carrollton town	Alabama	2015	988
Castleberry town	Alabama	2010	592
Castleberry town	Alabama	2011	591
Castleberry town	Alabama	2012	588
Castleberry town	Alabama	2013	583
Castleberry town	Alabama	2014	577
Castleberry town	Alabama	2015	566
Cedar Bluff town	Alabama	2010	1825
Cedar Bluff town	Alabama	2011	1823
Cedar Bluff town	Alabama	2012	1827
Cedar Bluff town	Alabama	2013	1819
Cedar Bluff town	Alabama	2014	1822
Cedar Bluff town	Alabama	2015	1813
Chatom town	Alabama	2010	1288
Chatom town	Alabama	2011	1290
Chatom town	Alabama	2012	1271
Chatom town	Alabama	2013	1255
Chatom town	Alabama	2014	1240
Chatom town	Alabama	2015	1239
