City	Incorporation	State	Year	Population
Mannford	town (pt.)	Oklahoma	2013	3065
Mannford	town (pt.)	Oklahoma	2014	3092
Mannford	town (pt.)	Oklahoma	2015	3099
Sapulpa	city (pt.)	Oklahoma	2010	20081
Sapulpa	city (pt.)	Oklahoma	2011	20264
Sapulpa	city (pt.)	Oklahoma	2012	20329
Sapulpa	city (pt.)	Oklahoma	2013	20329
Sapulpa	city (pt.)	Oklahoma	2014	20370
Sapulpa	city (pt.)	Oklahoma	2015	20514
Stroud	city (pt.)	Oklahoma	2010	3
Stroud	city (pt.)	Oklahoma	2011	3
Stroud	city (pt.)	Oklahoma	2012	3
Stroud	city (pt.)	Oklahoma	2013	3
Stroud	city (pt.)	Oklahoma	2014	3
Stroud	city (pt.)	Oklahoma	2015	3
Clinton	city (pt.)	Oklahoma	2010	9029
Clinton	city (pt.)	Oklahoma	2011	9089
Clinton	city (pt.)	Oklahoma	2012	9322
Clinton	city (pt.)	Oklahoma	2013	9483
Clinton	city (pt.)	Oklahoma	2014	9531
Clinton	city (pt.)	Oklahoma	2015	9561
Hamm	town (pt.)	Oklahoma	2010	45
Hamm	town (pt.)	Oklahoma	2011	45
Hamm	town (pt.)	Oklahoma	2012	47
Hamm	town (pt.)	Oklahoma	2013	47
Hamm	town (pt.)	Oklahoma	2014	48
Hamm	town (pt.)	Oklahoma	2015	48
Ketchum	town (pt.)	Oklahoma	2010	20
Ketchum	town (pt.)	Oklahoma	2011	20
Ketchum	town (pt.)	Oklahoma	2012	20
Ketchum	town (pt.)	Oklahoma	2013	20
Ketchum	town (pt.)	Oklahoma	2014	20
Ketchum	town (pt.)	Oklahoma	2015	20
Oaks	town (pt.)	Oklahoma	2010	286
Oaks	town (pt.)	Oklahoma	2011	285
Oaks	town (pt.)	Oklahoma	2012	285
Oaks	town (pt.)	Oklahoma	2013	285
Oaks	town (pt.)	Oklahoma	2014	285
Oaks	town (pt.)	Oklahoma	2015	285
Maysville	town (pt.)	Oklahoma	2010	1215
Maysville	town (pt.)	Oklahoma	2011	1208
Maysville	town (pt.)	Oklahoma	2012	1204
Maysville	town (pt.)	Oklahoma	2013	1207
Maysville	town (pt.)	Oklahoma	2014	1222
Maysville	town (pt.)	Oklahoma	2015	1228
Blanchard	city (pt.)	Oklahoma	2010	1848
Blanchard	city (pt.)	Oklahoma	2011	1873
Blanchard	city (pt.)	Oklahoma	2012	1908
Blanchard	city (pt.)	Oklahoma	2013	1953
Blanchard	city (pt.)	Oklahoma	2014	1997
Blanchard	city (pt.)	Oklahoma	2015	2063
Alle	town (pt.)	Oklahoma	2010	139
Alle	town (pt.)	Oklahoma	2011	137
Alle	town (pt.)	Oklahoma	2012	136
Alle	town (pt.)	Oklahoma	2013	134
Alle	town (pt.)	Oklahoma	2014	135
Alle	town (pt.)	Oklahoma	2015	135
Bromide	town (pt.)	Oklahoma	2010	134
Bromide	town (pt.)	Oklahoma	2011	135
Bromide	town (pt.)	Oklahoma	2012	134
Bromide	town (pt.)	Oklahoma	2013	134
Bromide	town (pt.)	Oklahoma	2014	135
Bromide	town (pt.)	Oklahoma	2015	134
Cashi	town (pt.)	Oklahoma	2010	598
Cashi	town (pt.)	Oklahoma	2011	601
Cashi	town (pt.)	Oklahoma	2012	598
Cashi	town (pt.)	Oklahoma	2013	612
Cashi	town (pt.)	Oklahoma	2014	616
Cashi	town (pt.)	Oklahoma	2015	622
Okarche	town (pt.)	Oklahoma	2010	891
Okarche	town (pt.)	Oklahoma	2011	892
Okarche	town (pt.)	Oklahoma	2012	896
Okarche	town (pt.)	Oklahoma	2013	925
Okarche	town (pt.)	Oklahoma	2014	947
Okarche	town (pt.)	Oklahoma	2015	949
Piedmon	city (pt.)	Oklahoma	2010	8
Piedmon	city (pt.)	Oklahoma	2011	8
Piedmon	city (pt.)	Oklahoma	2012	8
Piedmon	city (pt.)	Oklahoma	2013	8
Piedmon	city (pt.)	Oklahoma	2014	8
Piedmon	city (pt.)	Oklahoma	2015	8
Fanshawe	town (pt.)	Oklahoma	2010	5
Fanshawe	town (pt.)	Oklahoma	2011	5
Fanshawe	town (pt.)	Oklahoma	2012	5
Fanshawe	town (pt.)	Oklahoma	2013	5
Fanshawe	town (pt.)	Oklahoma	2014	5
Fanshawe	town (pt.)	Oklahoma	2015	5
Fanshawe	town (pt.)	Oklahoma	2010	414
Fanshawe	town (pt.)	Oklahoma	2011	412
Fanshawe	town (pt.)	Oklahoma	2012	408
Fanshawe	town (pt.)	Oklahoma	2013	406
Fanshawe	town (pt.)	Oklahoma	2014	405
Fanshawe	town (pt.)	Oklahoma	2015	402
Stroud	city (pt.)	Oklahoma	2010	2690
